Gene	DRR381601_complete_genome	DRR381603_complete_genome	DRR381607_complete_genome	DRR381616_complete_genome	DRR381634_complete_genome	DRR381635_complete_genome	DRR381661_complete_genome	DRR381665_complete_genome	DRR381669_complete_genome	DRR381701_complete_genome	DRR381723_complete_genome	DRR381735_complete_genome	DRR381740_complete_genome	DRR381743_complete_genome	DRR381744_complete_genome	DRR381745_complete_genome	DRR381749_complete_genome	SRR10119255_complete_genome	SRR10119414_complete_genome	SRR10337442_complete_genome	SRR10506462_complete_genome	SRR10520171_complete_genome	SRR13160357_complete_genome	SRR13160359_complete_genome	SRR13160360_complete_genome	SRR13167188_complete_genome	SRR14419375_complete_genome	SRR14419377_complete_genome	SRR14419379_complete_genome	SRR14419381_complete_genome	SRR14419383_complete_genome	SRR14419387_complete_genome	SRR1509643_complete_genome	SRR15277995_complete_genome	SRR15277999_complete_genome	SRR15376141_complete_genome	SRR15376142_complete_genome	SRR15376143_complete_genome	SRR15376144_complete_genome	SRR15376145_complete_genome	SRR15376146_complete_genome	SRR15376147_complete_genome	SRR15376149_complete_genome	SRR15376150_complete_genome	SRR15376151_complete_genome	SRR15376152_complete_genome	SRR15376153_complete_genome	SRR15376154_complete_genome	SRR15415532_complete_genome	SRR15415538_complete_genome	SRR15415539_complete_genome	SRR15415540_complete_genome	SRR15415542_complete_genome	SRR15415547_complete_genome	SRR15415549_complete_genome	SRR15415554_complete_genome	SRR15415555_complete_genome	SRR15415556_complete_genome	SRR15415557_complete_genome	SRR15415573_complete_genome	SRR15415574_complete_genome	SRR15415578_complete_genome	SRR15415580_complete_genome	SRR15415610_complete_genome	SRR15415611_complete_genome	SRR15415613_complete_genome	SRR15415620_complete_genome	SRR15415621_complete_genome	SRR15415622_complete_genome	SRR15415624_complete_genome	SRR15674630_complete_genome	SRR1714120_complete_genome	SRR23929852_complete_genome	SRR25510170_complete_genome	SRR25523643_complete_genome	SRR25523645_complete_genome	SRR25551086_complete_genome	SRR25603927_complete_genome	SRR25603929_complete_genome	SRR25603930_complete_genome	SRR2914453_complete_genome	SRR2914455_complete_genome	SRR3180501_complete_genome	SRR3180502_complete_genome	SRR3180707_complete_genome	SRR3191403_complete_genome	SRR3195765_complete_genome	SRR3195836_complete_genome	SRR3195839_complete_genome	SRR3195840_complete_genome	SRR3195841_complete_genome	SRR3195851_complete_genome	SRR3195852_complete_genome	SRR3205742_complete_genome	SRR3205757_complete_genome	SRR3224568_complete_genome	SRR3224814_complete_genome	SRR427084_complete_genome	SRR4301494_complete_genome	SRR4301497_complete_genome	SRR4301513_complete_genome	SRR4301514_complete_genome	SRR4301519_complete_genome	SRR4301521_complete_genome	SRR4301522_complete_genome	SRR4301525_complete_genome	SRR4301527_complete_genome	SRR4301531_complete_genome	SRR4301544_complete_genome	SRR4301548_complete_genome	SRR4301554_complete_genome	SRR4301555_complete_genome	SRR4301562_complete_genome	SRR4301564_complete_genome	SRR4301569_complete_genome	SRR4301571_complete_genome	SRR4301574_complete_genome	SRR4301577_complete_genome	SRR4301579_complete_genome	SRR4301588_complete_genome	SRR5413253_complete_genome	SRR5864678_complete_genome	SRR5870510_complete_genome	SRR6118141_complete_genome	SRR6118142_complete_genome	SRR6373397_complete_genome	SRR6929601_complete_genome	SRR6929602_complete_genome	SRR6929603_complete_genome	SRR6929604_complete_genome	SRR6929605_complete_genome	SRR6929606_complete_genome	SRR6929607_complete_genome	SRR6929608_complete_genome	SRR6929609_complete_genome	SRR6929610_complete_genome	SRR6929611_complete_genome	SRR6929612_complete_genome	SRR6929613_complete_genome	SRR6929614_complete_genome	SRR6929615_complete_genome	SRR6929616_complete_genome	SRR6929617_complete_genome	SRR6929618_complete_genome	SRR6929619_complete_genome	SRR6929620_complete_genome	SRR6929621_complete_genome	SRR6929622_complete_genome	SRR6929623_complete_genome	SRR6929624_complete_genome	SRR6929625_complete_genome	SRR6929626_complete_genome	SRR6929627_complete_genome	SRR6929628_complete_genome	SRR6929629_complete_genome	SRR6929630_complete_genome	SRR6929631_complete_genome	SRR6929632_complete_genome	SRR6929633_complete_genome	SRR6929634_complete_genome	SRR6929635_complete_genome	SRR6929636_complete_genome	SRR6929637_complete_genome	SRR6929638_complete_genome	SRR6929639_complete_genome	SRR7439153_complete_genome	SRR7460819_complete_genome	SRR7896257_complete_genome	SRR8192791_complete_genome	SRR8292155_complete_genome	SRR941218_complete_genome	SRR9694420_complete_genome	SRR9994124_complete_genome	SRR9994125_complete_genome	SRR9994127_complete_genome	total_presence	presence_fraction
rsmG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
pssL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
group_4458	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
pheM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
yjaH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
fdoI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
group_4456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
yraR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
argO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
yfhb	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175	1.0
